keyword,difficulty,exact_in_title,unique_domains,gov_edu,aggregators
local business the advantages of social media marketing,60,0,10,0,0
local business the advantages of social media marketing for local business,60,0,10,0,0
local business the advantages of social media marketing for small business,60,0,10,0,0
local business the advantages of social media marketing local,60,0,10,0,0
local business the advantages of social media marketing near me,60,0,10,0,0
local business what social media marketing encompasses,60,0,10,0,0
local business what social media marketing encompasses for local business,64,0,10,0,1
local business what social media marketing encompasses for small business,70,0,10,0,0
local business what social media marketing encompasses local,60,0,10,0,0
local business what social media marketing encompasses near me,60,0,10,0,0
