keyword,difficulty,exact_in_title,unique_domains,gov_edu,aggregators
seo strategy,70,3,5,0,0
local seo strategy,90,0,5,0,0
small business seo strategy,60,0,5,0,0
local business seo strategy,90,0,5,0,0
seo strategy near me,60,0,5,0,0
seo strategy local,90,0,5,0,0
seo strategy for small business,60,0,5,0,0
seo strategy for local business,90,0,5,0,0
seo strategy surrey,60,0,5,0,0
seo strategy camberley,60,0,5,0,0
seo strategy mytchett,60,0,5,0,0
content optimization,70,5,5,0,0
local content optimization,60,1,5,0,0
small business content optimization,60,0,5,0,0
local business content optimization,70,0,5,0,0
content optimization near me,60,0,5,0,0
content optimization local,74,0,5,0,1
content optimization for small business,60,0,5,0,0
content optimization for local business,60,0,5,0,0
content optimization surrey,60,0,5,0,0
content optimization camberley,60,0,5,0,0
content optimization mytchett,60,0,4,0,0
keyword research,80,2,5,0,0
local keyword research,50,2,5,0,0
small business keyword research,70,0,5,0,0
local business keyword research,70,0,5,0,0
keyword research near me,60,0,5,0,0
keyword research local,70,0,5,0,0
keyword research for small business,70,0,5,0,0
keyword research for local business,60,0,5,0,0
keyword research surrey,60,0,5,0,0
keyword research camberley,60,0,5,0,0
keyword research mytchett,68,0,5,1,0
analytics,60,5,5,0,0
local analytics,50,3,5,0,0
small business analytics,72,0,5,1,1
local business analytics,68,0,5,1,0
analytics near me,60,0,4,0,0
analytics local,58,2,4,1,0
analytics for small business,68,0,5,1,0
analytics for local business,72,0,5,1,1
analytics surrey,68,0,4,1,0
analytics camberley,64,0,4,0,1
analytics mytchett,76,0,4,3,0
link building,80,4,5,0,0
local link building,60,4,5,0,0
small business link building,70,0,5,0,0
local business link building,60,0,5,0,0
link building near me,70,0,5,0,0
link building local,70,0,5,0,0
