keyword,cluster_id,cluster_size,intent,modifier_hits,score,volume,difficulty,cpc
local business the advantages of social media marketing,1,40,unspecified,3,1.6,,,
local business the advantages of social media marketing for local business,1,40,unspecified,4,1.6,,,
local business the advantages of social media marketing for small business,1,40,unspecified,5,1.6,,,
local business the advantages of social media marketing local,1,40,unspecified,3,1.6,,,
local business the advantages of social media marketing near me,1,40,transactional,4,1.6,,,
local business what social media marketing encompasses,1,40,informational,3,1.6,,,
local business what social media marketing encompasses for local business,1,40,informational,4,1.6,,,
local business what social media marketing encompasses for small business,1,40,informational,5,1.6,,,
local business what social media marketing encompasses local,1,40,informational,3,1.6,,,
local business what social media marketing encompasses near me,1,40,informational,4,1.6,,,
local the advantages of social media marketing for local business,1,40,unspecified,4,1.6,,,
local the advantages of social media marketing for small business,1,40,unspecified,4,1.6,,,
local the advantages of social media marketing near me,1,40,transactional,3,1.6,,,
local what social media marketing encompasses for local business,1,40,informational,4,1.6,,,
local what social media marketing encompasses for small business,1,40,informational,4,1.6,,,
local what social media marketing encompasses near me,1,40,informational,3,1.6,,,
small business the advantages of social media marketing for local business,1,40,unspecified,5,1.6,,,
small business the advantages of social media marketing local,1,40,unspecified,3,1.6,,,
small business what social media marketing encompasses for local business,1,40,informational,5,1.6,,,
small business what social media marketing encompasses local,1,40,informational,3,1.6,,,
the advantages of social media marketing for local business,1,40,unspecified,4,1.6,,,
what social media marketing encompasses for local business,1,40,informational,4,1.6,,,
keyword research for local business,0,80,unspecified,4,1.6,,,
local business keyword research,0,80,unspecified,3,1.6,,,
local business keyword research for local business,0,80,unspecified,4,1.6,,,
local business keyword research for small business,0,80,unspecified,5,1.6,,,
local business keyword research local,0,80,unspecified,3,1.6,,,
local business keyword research near me,0,80,transactional,4,1.6,,,
local business local seo,0,80,unspecified,3,1.6,,,
local business local seo for local business,0,80,unspecified,4,1.6,,,
local business local seo for small business,0,80,unspecified,5,1.6,,,
local business local seo local,0,80,unspecified,3,1.6,,,
local business local seo near me,0,80,transactional,4,1.6,,,
local business seo audit,0,80,unspecified,3,1.6,,,
local business seo audit for local business,0,80,unspecified,4,1.6,,,
local business seo audit for small business,0,80,unspecified,5,1.6,,,
